keys,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
MENU_OPTIONS_SOUND,Sound Options,Options sonores,声音设置,サウンド設定,음향 설정,聲音選項,Настройки звука,Ustawienia dźwięku,Opciones de sonido,Opções de som,Soundeinstellungen,Ses Ayarları,Opzioni audio
MENU_OPTIONS_WINDOWED,Windowed,Fenêtré,窗口模式,ウィンドウモード,창 모드,視窗模式,В окне,Okno,Ventana,Janela,Fenstermodus,Pencere modu,In finestra
MENU_OPTIONS_FULLSCREEN,Fullscreen,Plein écran,全屏模式,全画面,전체화면,全螢幕,Во весь экран,Pełny ekran,Pantalla completa,Tela cheia,Vollbild,Tam ekran modu,Schermo intero
MENU_OPTIONS_CONTROLS,Controls,Contrôles,控制,操作方法,조작 방식,操作,Управление,Sterowanie,Controles,Controles,Steuerung,Kontroller,Comandi
MENU_OPTIONS_SOUND_VOLUME,Volume,Volume,音量,音量,음량,音量,Громкость,Głośność,Volumen,Volume,Lautstärke,Ses Düzeyi,Volume
MENU_OPTIONS_SCREENSHAKE,Screenshake,Tremblements d'écran,屏幕震动,画面揺れ効果,화면 흔들림,螢幕震動,Тряска экрана,Zrzut ekranu,Temblor de pantalla,Tremor de tela,Bildwackeln,Ekran Titremesi,Scuotimento schermo
MENU_OPTIONS_MOUSE_ONLY,Mouse Only,Souris uniquement,仅限鼠标,マウスのみ,마우스만 사용,僅限滑鼠,Только мышь,Tylko mysz,Solo ratón,Apenas mouse,Nur Maus,Yalnızca Fare,Solo mouse
MENU_OPTIONS_MANUAL_AIM,Manual Aim,Visée manuelle,手动瞄准,手動照準,수동 조준,手動瞄準,Целиться вручную,Celowanie ręczne,Apuntar manualmente,Mira manual,Manuelles Zielen,Manuel Hedef Alma,Mira manuale
MENU_OPTIONS_VISUAL_EFFECTS,Visual Effects,Effets visuels,视觉效果,視覚効果,시각 효과,視覺效果,Визуальные эффекты,Efekty graficzne,Efectos visuales,Efeitos visuais,Visuelle Effekte,Görsel Efektler,Effetti grafici
MENU_DAMAGE_DISPLAY,Damage Display,Affichage des dégâts,伤害显示,ダメージ表示,대미지 디스플레이,傷害顯示,Показывать урон,Komunikat obrażeń,Mostrar daño,Exibição de dano,Schadensanzeige,Hasarı Göster,Mostra danni
MENU_CHAR_HIGHLIGHTING,Character Highlighting,Surbrillance du personnage,突显角色,キャラクターのハイライト,캐릭터 강조,強調角色,Подсветка персонажа,Podświetlenie postaci,Resaltar personaje,Destaque de personagem,Charakterhervorhebung,Karakteri Vurgulama,Evidenzia personaggio
MENU_WEAPON_HIGHLIGHTING,Weapons Highlighting,Surbrillance des armes,突显武器,武器のハイライト,무기 강조,強調武器,Подсветка оружия,Podświetlenie broni,Resaltar armas,Destaque de armas,Waffenhervorhebung,Silahları Vurgulama,Evidenzia armi
MENU_FONT_SIZE,Font Size,Taille de la Police,字体大小,フォントサイズ,글자 크기,字體尺寸,Размер шрифта,Wielkość fontu,Tamaño de fuente,Tamanho da fonte,Schriftgröße,Yazı Boyutu,Dimensione font
MENU_BACKGROUND,Background,Fond,背景,背景,배경,背景,Фон,Tło,Fondo,Fundo,Hintergrund,Arka Plan,Sfondo
MENU_HP_BAR_ON_CHAR,HP bar on character,Barre de PV sur le personnage,角色头顶显示血条,キャラクターの HP バー,캐릭터 HP 바,角色身上顯示HP條,Шкала ОЗ персонажа,Pasek PZ bohatera,PS sobre personajes,Barra de PV no personagem,LP-Leiste am Charakter,Karakterin Sağlık göstergesi,Barra salute sul personaggio
REWARD,Reward,Récompense,奖励,報酬,보상,報酬,Награда,Nagroda,Recompensa,Recompensa,Belohnung,Ödül,Ricompensa
TIER_COMMON,Common,Commun,普通,コモン,흔한,普通,Обычная,Pospolita,Común,Comum,Gewöhnlich,Yaygın,Comune
TIER_UNCOMMON,Uncommon,Peu commun,罕见,アンコモン,드문,罕見,Необычная,Niepospolita,Poco común,Incomum,Ungewöhnlich,Nadir,Insolita
TIER_RARE,Rare,Rare,稀有,レア,귀한,稀有,Редкая,Rzadka,Raro,Raro,Selten,Ender,Rara
TIER_LEGENDARY,Legendary,Légendaire,传奇,レジェンド,전설,傳說級,Легендарная,Legendarna,Legendario,Lendário,Legendär,Efsanevi,Leggendaria
NO_RECORDS_YET,None yet,Aucun pour le moment,尚无记录,なし,아직 없음,尚未,Еще нет,Brak,Ninguno,Nada ainda,Noch keine,Henüz yok,Nessun record
RECORDS,Records,Records,纪录,記録,기록,紀錄,Рекорды,Rekordy,Récords,Recordes,Rekorde,Rekorlar,Record
MAX_DIFFICULTY_BEATEN,Max difficulty beaten,Difficulté max vaincue,通关最高难度,クリアした最高難易度,최대 난이도 달성,過關的最高難易度,Макс. пройденная сложность,Najwyższy zaliczony poz. trud.,Mayor dificultad,Dificuldade máxima vencida,Höchste Schwierigkeit beendet,Bitirilen en yüksek zorluk seviyesi,Difficoltà massima superata
MAX_ENDLESS_WAVE_BEATEN,Endless max wave,Sans fin vague max,无尽模式最高波数,敵無限波,무한 최대 웨이브,無盡模式最高波數,Макс. волна в «Без конца»,Maks. fala w trybie Nieskończonym,Mayor oleada infinita,Onda máxima (Sem Fim),Höchste Endlos-Welle,Sonsuz maksimum hücum,Ondata massima (modalità Senza fine)
DIFFICULTY,Difficulty,Difficulté,难度,難易度,난이도,難易度,Сложность,Poziom trudności,Dificultad,Dificuldade,Schwierigkeit,Zorluk,Difficoltà
MATERIALS,Materials,Matériaux,材料,材料,재료,素材,Материалы,Materiały,Materiales,Materiais,Materialien,Malzemeler,Materiali
WAVE_COMPLETED,Wave Completed!,Vague Terminée !,通过！,波クリア！,웨이브 완료!,撐過敵襲！,Волна пройдена!,Fala ukończona!,¡Oleada completada!,Onda concluída!,Welle beendet!,Hücum Tamamlandı!,Ondata completata!
ITEM_FOUND,Item found!,Objet trouvé !,发现道具！,アイテム発見！,아이템 발견!,發現道具！,Найден предмет!,Znaleziono przedmiot!,¡Objeto encontrado!,Novo item!,Item gefunden!,Eşya bulundu!,Nuovo oggetto!
CATEGORY_ITEM,Item,Objet,道具,アイテム,아이템,道具,Предмет,Przedmiot,Objeto,Item,Item,Eşya,Oggetto
CATEGORY_WEAPON,Weapon,Arme,武器,武器,무기,武器,Оружие,Broń,Arma,Arma,Waffe,Silah,Arma
DAMAGE_FORMATTED,{0}: {1},{0} : {1},{0}：{1},{0} ： {1},{0}: {1},{0}：{1},{0}: {1},{0}: {1},{0}: {1},{0}: {1},{0}: {1},{0}: {1},{0}: {1}
RANGE_FORMATTED,{0}: {1} ({2}),{0} : {1} ({2}),{0}：{1}（{2}）,{0} ： {1} （ {2} ）,{0}: {1} ({2}),{0}：{1}（{2}）,{0}: {1} ({2}),{0}: {1} ({2}),{0}: {1} ({2}),{0}: {1} ({2}),{0}: {1} ({2}),{0}: {1} ({2}),{0}: {1} ({2})
STAT_FORMATTED,{0}: {1},{0} : {1},{0}：{1},{0} ： {1},{0}: {1},{0}：{1},{0}: {1},{0}: {1},{0}: {1},{0}: {1},{0}: {1},{0}: {1},{0}: {1}
PIERCING_FORMATTED,{0}: {1} (-{2}% damage),{0} : {1} (-{2}% dégâts),{0}：{1}（-{2}%伤害）,{0} ： {1} （ダメージ- {2} %）,{0}: {1} (-{2}% 대미지),{0}：{1}（-{2}%傷害）,{0}: {1} (-{2}% урона),{0}: {1} (–{2}% obrażeń),{0}: {1} (-{2} % de daño),{0}: {1} (-{2}% de dano),{0}: {1} (-{2} % Schaden),{0}: {1} (%-{2} hasar),{0}: {1} (-{2}% ai danni)
COOLDOWN,Cooldown,Recharge,冷却,クールダウン,쿨다운,冷卻,Восстановление,Czas odnowienia,Recarga,Recarga,Abklingzeit,Bekleme süresi,Ricarica
DEALS_DAMAGE_ON_RETURN,Also deals damage on return,Inflige également des dégâts au retour,还能够在返回时造成伤害,リターン時にもダメージを与える,또한 대가로 대미지를 가함,還能夠在返回時造成傷害,Также наносит урон в ответ.,Zadaje obrażenia przy powrocie,Daña también al atacante,Também causa dano no retorno,Verursacht auch bei Rückkehr Schaden,Dönerken de hasar verir,Infligge danni anche al ritorno.
ALTERNATES_ATTACK_TYPE,Alternates between thrusting and sweeping attacks,Alterne entre les attaques de poussée et de balayage,在突刺攻击和横扫攻击间交替,突進攻撃と掃討攻撃を交互に行う,찌르기 및 휩쓸기 공격을 번갈아 진행,在突刺攻擊和橫掃攻擊間交替,Чередует колющие и рассекающие атаки.,Na zmianę wykonuje pchnięcia i zamachy,Alterna entre empujones y barridos,Alterna entre ataques de empurrão e em arco,Wechselt zwischen Stich- und Schwungangriffen,Sırasıyla deşici ve savurucu darbeler indirir,Alterna attacchi in affondo e ad arco.
CRITICAL_FORMATTED,{0}: {1} ({2}% chance),{0} : {1} ({2} % de chance),{0}：{1}（{2}%概率）,{0} ： {1} （確率 {2} %）,{0}: {1} ({2}% 확률),{0}：{1}（{2}%的機率）,{0}: {1} (шанс {2}%),{0}: {1} ({2}% szans),{0}: {1} ({2} % de prob.),{0}: {1} ({2}% de chance),{0}: {1} (Chance von {2} %),{0}: {1} (%{2} olasılık),{0}: {1} ({2}% di probabilità)
CRITICAL,Critical,Critique,暴击,クリティカル,치명타,爆擊,Критический,Trafienie krytyczne,Crítico,Crítico,Kritisch,Kritik,Danni critici
MELEE,Melee,Mêlée,近战,近接,근거리,近距離,Ближний бой,Walka wręcz,Cuerpo a cuerpo,Corpo a corpo,Nahkampf,Yakın Saldırı,Mischia
RANGED,Ranged,Distance,远战,遠距離,원거리,遠距離,Дальний бой,Dystansowe,A distancia,Longo alcance,Fernkampf,Menzilli Saldırı,Distanza
TIER_I,I,I,I,I,I,I,I,I,I,I,I,I,I
TIER_II,II,II,II,II,II,II,II,II,II,II,II,II,II
TIER_III,III,III,III,III,III,III,III,III,III,III,III,III,III
TIER_IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV,IV
STAT_MAX_HP,Max HP,PV Max,最大生命值,最大 HP,최대 HP,最大HP,Макс. ОЗ,Maks. PZ,PS máximos,PV máximo,Max. LP,Maks. Sağlık,PS massimi
STAT_DAMAGE,Damage,Dégâts,伤害,ダメージ,대미지,傷害,Урон,Obrażenia,Daño,Dano,Schaden,Hasar,Danni
STAT_CRIT_CHANCE,% Crit Chance,% Chance Critique,%暴击率,クリティカル率%,% 치명타율,%爆擊機率,% для крит. удара,% szans na traf. kryt.,% de prob. crít.,% de chance crítica,% KRIT-Chance,% Kritik Hasar Olasılığı,% di prob. critica
STAT_LUCK,Luck,Chance,幸运,運,행운,運氣,Удача,Szczęście,Suerte,Sorte,Glück,Şans,Fortuna
STAT_CRIT_DAMAGE,% Crit Damage,% Dégâts Critiques,％暴击伤害,クリティカル ダメージ%,% 치명타 대미지,％爆擊傷害,% к крит. урону,% obr. kryt.,% de daño crít.,% de dano crítico,% KRIT-Schaden,% Kritik Hasar,% di danni critici
STAT_ELEMENTAL_DAMAGE,Elemental Damage,Dégâts Élémentaires,元素伤害,属性ダメージ,원소 대미지,屬性傷害,Стихийный урон,Obrażenia od żywiołów,Daño elemental,Dano elemental,Elementarschaden,Element Hasarı,Danni elementali
STAT_ARMOR,Armor,Armure,护甲,アーマー,방어구,盔甲,Броня,Pancerz,Armadura,Armadura,Rüstung,Zırh,Corazza
STAT_HP_REGENERATION,HP Regeneration,Régénération de PV,生命再生,HP 再生,HP 재생,HP再生,Регенерация ОЗ,Regeneracja PZ,Recuperación de PS,Recuperação de PV,LP-Regeneration,Sağlık Yenileme,Recupero salute
STAT_LIFESTEAL,% Life Steal,% Vol de Vie,%生命窃取,ライフ スティール%,% 생명 훔침,%生命竊取,% к краже жизни,% wysysanego życia,% de robo de salud,% de roubo de vida,% Lebensabzug,% Can Çalma,% di furto vita
STAT_MELEE_DAMAGE,Melee Damage,Dégâts en Mêlée,近战伤害,近接ダメージ,근거리 대미지,近距離傷害,Урон в ближнем бою,Obr. w walce wręcz,Daño cuerpo a cuerpo,Dano corpo a corpo,Nahkampfschaden,Yakın Saldırı Hasarı,Danni da mischia
STAT_PERCENT_DAMAGE,% Damage,% Dégâts,%伤害,ダメージ%,% 대미지,%傷害,% к урону,% obrażeń,% de daño,% de dano,% Schaden,% Hasar,% di danni
STAT_DODGE,% Dodge,% Esquive,%闪避,回避%,% 회피,%迴避,% к уклонению,% szans na unik,% de agilidad,% de esquiva,% Ausweichen,% Kaçınma,% di schivata
STAT_ENGINEERING,Engineering,Ingénierie,工程学,エンジニアリング,엔지니어링,工程學,Инженерия,Inżynieria,Ingeniería,Engenharia,Technik,Mühendislik,Ingegneria
STAT_RANGE,Range,Portée,范围,遠距離,범위,範圍,Дальность,Zasięg,Alcance,Alcance,Reichweite,Menzil,Portata
STAT_RANGED_DAMAGE,Ranged Damage,Dégâts à Distance,远程伤害,遠距離ダメージ,원거리 대미지,範圍傷害,Урон в дальнем бою,Obrażenia dystansowe,Daño a distancia,Dano de longo alcance,Fernkampfschaden,Menzilli Saldırı Hasarı,Danni da distanza
STAT_SPEED,% Speed,% Vitesse,%速度,スピード%,% 속도,%速度,% к скорости,% szybkości,% de velocidad,% de velocidade,% Tempo,% Hız,% di velocità
STAT_ACCURACY,% Accuracy,% Précision,%命中率,精度%,% 정확도,%命中率,% к точности,% celności,% de precisión,% de precisão,% Genauigkeit,% İsabet,% di precisione
STAT_ATTACK_SPEED,% Attack Speed,% Vitesse d'Attaque,%攻击速度,攻撃スピード%,% 공격 속도,%攻擊速度,% к скорости атаки,% prędkości ataku,% de vel. ataque,% de velocidade de ataque,% Angriffstempo,% Saldırı Hızı,% di velocità attacco
STAT_HARVESTING,Harvesting,Récolte,收获,収穫,수확,收穫結算,Сбор,Zbieranie,Recolección,Coleta,Ernte,Toplama,Raccolta
ACCURACY,Accuracy,Précision,命中率,精度,정확도,命中率,Точность,Celność,Precisión,Precisão,Genauigkeit,İsabet,Precisione
WEAPON_SLOT,Weapon Slot,Emplacement d'arme,武器栏,武器スロット,무기 슬롯,武器欄位,Ячейка оружия,Pole broni,Ranura de arma,Espaço de arma,Waffenplatz,Silah Yuvası,Spazio per arma
XP_GAIN,% XP Gain,% Gain d’XP,获得%经验,XP獲得%,% XP 획득,獲得%XP,% бонусного опыта,Zdobywany % PD,% de XP recibida,% de EXP ganha,% EP-Gewinn,% TP Kazanımı,% di guadagno PE
ITEMS_PRICE,% Items Price,% Prix des objets,%道具价格,アイテム価格%,% 아이템 가격,%道具價格,% цены предметов,% ceny przedmiotów,% de precio de objetos,% do preço dos itens,% Item-Preis,% Eşya Fiyatı,% prezzo oggetti
MAP_SIZE,Map Size,Taille de la carte,地图尺寸,マップ サイズ,맵 크기,地圖尺寸,Размер карты,Rozmiar mapy,Tamaño de mapa,Tamanho do mapa,Kartengröße,Harita Boyutu,Dimensioni mappa
MENU_ENEMY_SPEED,Enemy speed,Vitesse des ennemis,敌人速度,敵スピード,적 속도,敵人速度,Скорость врагов,Szybkość wroga,Velocidad de enemigos,Velocidade dos inimigos,Gegnertempo,Düşman hızı,Velocità nemici
